hr, targetSPN(difficulty), avgDelta (real difficulty), hrthres
0,0.997848,0.997848,107.6
103,0.9966013,0.9865432,107.6
103,0.9936863,0.9808905,107.6
104,0.9894914,0.9664546,107.6
103,0.9858866,0.9592362,107.6
103,0.9814885,0.978847,107.6
103,0.9768347,0.9770424,107.6
103,0.9724877,0.9645306,107.6
103,0.9680385,0.9698842,107.6
102,0.9632499,0.984171,107.6
102,0.9577739,0.9448748,107.6
102,0.9525468,1.087766,107.6
102,0.9458262,0.8805728,107.6
103,0.9424406,0.9511249,107.6
103,0.9377868,0.9631819,107.6
102,0.9330843,0.9576003,107.6
102,0.927795,0.9431986,107.6
102,0.9225057,0.9708287,107.6
101,0.9166724,0.9730338,107.6
100,0.9100999,0.9741353,107.6
99,0.9029098,0.9630771,107.6
99,0.8945017,0.980767,107.6
98,0.8847576,0.9663929,107.6
98,0.8759022,0.9359857,107.6
98,0.8670467,0.9788314,107.6
98,0.857231,0.9770351,107.6
98,0.8479488,0.9645269,107.6
99,0.8396028,0.9698819,107.6
100,0.8319555,0.7287516,107.6
100,0.8284926,0.6197946,107.6
102,0.8252834,1.633435,107.6
103,0.812156,1.048916,107.6
103,0.8101103,0.7566588,107.6
104,0.8083525,0.7150184,107.6
104,0.8058729,0.7986885,107.6
104,0.8027533,0.8521335,107.6
103,0.7989721,0.8788561,107.6
103,0.7948297,0.764507,107.6
103,0.7918636,0.7305526,107.6
103,0.7885906,0.8180656,107.6
103,0.7845504,0.8386021,107.6
104,0.7812237,0.75599,107.6
104,0.778864,0.714684,107.6
104,0.7763843,0.8217413,107.6
104,0.7730647,0.8404399,107.6
106,0.7705766,0.768519,107.6
106,0.7695286,0.8022187,107.6
105,0.7674096,0.7494084,107.6
104,0.7653267,0.8507136,107.6
104,0.7618071,0.866536,107.6
104,0.7587675,0.6422486,107.6
102,0.756901,0.7739117,107.6
102,0.751985,0.8281351,107.6
102,0.7468824,0.6462682,107.6
102,0.7443933,0.7759234,107.6
101,0.7384771,0.829141,107.6
100,0.7320435,0.6351591,107.6
100,0.7285807,0.7703689,107.6
100,0.7217394,0.6173831,107.6
100,0.7184455,0.7382608,107.6
99,0.710835,0.7174313,107.6
100,0.7051841,0.6837946,107.6
100,0.700201,0.8062966,107.6
100,0.6930219,0.6121269,107.6
100,0.689728,0.7472427,107.6
101,0.6837467,0.6058201,107.6
102,0.680763,0.6279909,107.6
102,0.6772783,0.6506845,107.6
102,0.6734202,0.7781315,107.6
102,0.6682553,0.6096544,107.6
103,0.666092,0.7576165,107.6
103,0.6620519,0.622617,107.6
103,0.659904,0.6363894,107.6
103,0.6568356,0.6548837,107.6
103,0.6538182,0.6641308,107.6
103,0.6506475,0.6687544,107.6
103,0.6475791,0.659458,107.6
103,0.6445106,0.666418,107.6
103,0.6414422,0.669898,107.6
103,0.6383226,0.6832461,107.6
103,0.6350496,0.5506036,107.6
103,0.6333108,0.7397031,107.6
103,0.6288615,0.5904402,107.6
103,0.6270205,0.6319091,107.6
103,0.6237986,0.6410354,107.6
103,0.6208324,0.6572067,107.6
103,0.6177129,0.5491921,107.6
103,0.6156672,0.611285,107.6
103,0.6126499,0.5262312,107.6
104,0.6109544,0.5998046,107.6
104,0.6086347,0.6482033,107.6
104,0.606075,0.6491825,107.6
105,0.6037308,0.54518,107.6
105,0.6026034,0.609279,107.6
106,0.6007933,0.6297165,107.6
106,0.5997631,0.6631592,107.6
106,0.5986796,0.5521683,107.6
106,0.5979514,0.5082847,107.6
106,0.5972586,0.6953198,107.6
106,0.5958377,0.5798605,107.6
106,0.5950561,0.6150111,107.6
106,0.5940614,0.6441945,107.6
106,0.5929602,0.5542979,107.6
106,0.5922142,0.4977376,107.6
106,0.5915214,0.6900462,107.6
106,0.5901005,0.5772237,107.6
106,0.5893545,0.5208125,107.6
105,0.5881894,0.5854833,107.6
105,0.5865417,0.6410426,107.6
105,0.5847204,0.54111,107.6
105,0.5835352,0.4795355,107.6
107,0.5829303,0.6925571,107.6
107,0.5823628,0.5668672,107.6
108,0.5824881,0.6201226,107.6
108,0.5827519,0.53065,107.6
109,0.5832168,0.6136259,107.6
109,0.5841969,0.5274017,107.6
110,0.584981,0.5423416,107.6
110,0.5863131,0.67752,107.6
111,0.5885547,0.5477406,107.6
111,0.5900663,0.5060671,107.6
112,0.5917421,0.6942147,107.6
112,0.5956033,0.5793042,107.6
112,0.5976072,0.4986326,107.6
112,0.5995134,0.7021056,107.6
111,0.6030686,0.5716415,107.6
111,0.6045046,0.5064132,107.6
111,0.606054,0.7059959,107.6
110,0.6083521,0.5735866,107.6
110,0.6093646,0.507382,107.6
110,0.6104037,0.601992,107.6
109,0.6120001,0.626073,107.6
109,0.6129024,0.6381174,107.6
109,0.6138358,0.6673558,107.6
109,0.6148003,0.6703707,107.6
109,0.6157649,0.6834825,107.6
109,0.6166983,0.6784302,107.6
110,0.6182282,0.6759041,107.6
110,0.6198268,0.5469326,107.6
110,0.6208659,0.5056669,107.6
110,0.6219316,0.7056228,107.6
111,0.6247517,0.515348,107.6
111,0.6259232,0.5595348,107.6
111,0.6278882,0.6977285,107.6
111,0.6307602,0.5810611,107.6
112,0.6328553,0.7317117,107.6
112,0.6365699,0.5864446,107.6
112,0.6385249,0.7460116,107.6
112,0.6425816,0.5935945,107.6
112,0.6445366,0.6334863,107.6
111,0.6474339,0.6534321,107.6
111,0.6496634,0.5473086,107.6
111,0.6512128,0.7380517,107.6
111,0.6543115,0.6941067,107.6
111,0.6565411,0.6837423,107.6
111,0.6587329,0.574068,107.6
111,0.66032,0.7282152,107.6
112,0.6634208,0.7007966,107.6
112,0.6664022,0.6754792,107.6
112,0.669237,0.6976486,107.6
112,0.6723651,0.6622933,107.6
113,0.6754408,0.7839359,107.6
113,0.6804226,0.6125566,107.6
114,0.6831672,0.7706758,107.6
114,0.688998,0.7104188,107.6
114,0.6932645,0.6918983,107.6
113,0.6971763,0.7871304,107.6
112,0.7019223,0.625762,107.6
112,0.704024,0.7540622,107.6
111,0.7076921,0.7253282,107.6
111,0.7101485,0.6993531,107.6
111,0.712378,0.7908577,107.6
111,0.7154012,0.6044056,107.6
110,0.7166055,0.6388956,107.6
110,0.7182308,0.6677449,107.6
110,0.7198827,0.6705652,107.6
110,0.7215346,0.6719678,107.6
111,0.7235121,0.7887732,107.6
112,0.7271586,0.7194675,107.6
112,0.7298468,0.6964265,107.6
113,0.7335013,0.7893906,107.6
113,0.738243,0.7429924,107.6
113,0.7421444,0.6965771,107.6
114,0.7458982,0.6849737,107.6
114,0.7500936,0.7952762,107.6
114,0.7559956,0.7343309,107.6
113,0.7600737,0.8083428,107.6
113,0.7648754,0.8569607,107.6
113,0.7697972,0.8696578,107.6
112,0.7740374,0.7715217,107.6
113,0.7771723,0.722446,107.6
113,0.7806535,0.8140123,107.6
112,0.785301,0.8597955,107.6
111,0.7892156,0.882687,107.6
111,0.7923143,0.7664244,107.6
112,0.7949939,0.719905,107.6
112,0.7980731,0.8011299,107.6
112,0.8017387,0.8533542,107.6
112,0.8057954,0.7749742,107.6
113,0.8088858,0.8170602,107.6
113,0.8134474,0.8148793,107.6
112,0.8174809,0.7673487,107.6
113,0.8206201,0.8480756,107.6
113,0.825662,0.8652152,107.6
113,0.8304037,0.8853969,107.6
112,0.83504,0.8838758,107.6
112,0.8389012,0.8947272,107.6
112,0.8428112,0.888541,107.6
111,0.8461115,0.8854479,107.6
111,0.8490213,0.7910287,107.6
111,0.8514398,0.8366917,107.6
111,0.854463,0.7782549,107.6
111,0.8569949,0.8303049,107.6
111,0.8598669,0.8563298,107.6
111,0.8629656,0.8809542,107.6
112,0.8664211,0.8932664,107.6
112,0.8704778,0.8762063,107.6
112,0.8742412,0.8212284,107.6
112,0.8776137,0.8285754,107.6
112,0.8811816,0.9715692,107.6
111,0.8860848,0.9385739,107.6
111,0.8891835,0.9104643,107.6
111,0.8921689,0.9080215,107.6
110,0.895049,0.9068,107.6
109,0.897083,0.8945774,107.6
109,0.8982965,0.8884661,107.6
109,0.8995099,0.8970224,107.6
110,0.9012047,0.9013005,107.6
110,0.9032562,0.8918352,107.6
110,0.905441,0.887095,107.6
110,0.9075724,0.8963368,107.6
109,0.909327,0.9009577,107.6
109,0.9106337,0.8684323,107.6
